Paper	Ecoregion	BIOME	Type_of_Species	Species	WU	MUWM	CARN	DOM	HARE	SM	BIRD	REPT	FISH	ARTHR	PLANTS	OTHER	WASTE	Percentage
2016_Apostolico.Contemporary	274	1	2	WC	0,69		0,00		0,34	64,57	5,60	10,29	0,23	18,06		0,23		100,00
2016_Apostolico.Historical	274	1	2	WC	0,00		0,69		1,72	78,04	6,69	1,03	0,00	11,84		0,00		100,00
2016_Hisano.Reg₁	74	2	4	Martes			1,64	0,35	0,67	5,52	10,32	1,53		21,75	57,20		1,00	100,00
2016_Hisano.Reg₂	74	2	4	Martes					0,42	19,70	5,91	0,80		31,84	38,08	0,36	2,89	100,00
2016_Kamler	529	8	1	Coyote	1,00			9,74	9,97	39,47	3,29	0,38		12,88	23,23	0,05		100,00
2016_Lanzski	206	2	1	EUGJ	7,60		0,40		0,50	65,20	2,40	1,00		4,50	18,70			100,30
2016_Lanzski	206	2	3	RF	6,20	0,60	0,80		0,70	41,90	8,20	1,50		9,90	30,20			100,00
2016_Monterroso	86	2	4	Pine_marten	2,82					29,23	8,45	4,23		16,90	38,03	0,35		100,00
2016_Monterroso	86	2	4	Beech_marten	6,56					27,87	6,56	4,92		21,31	30,60	2,19		100,00
2016_Singh	412	6	1	EUGJ	31,89		1,56			10,31	5,00	0,63		0,94	44,69	2,51	2,50	100,03
2017_Atickem	473	3	1	AGW				1,29		57,02	1,29			14,11	22,46		3,82	100,00
2017_Eddine	1127	1	1	AGW	13,08		0,18	5,15	3,68	8,47	6,63	0,92		6,45	40,89	2,03	12,52	100,00
2017_Franchini	1125	1	2	WC						77,68	22,36							100,05
2017_Slauson	160	8	4	Martes	0,41				0,72	32,14	13,96	5,54		16,22	31,01			100,00
2017_Soe	220	2	3	RF	20,67		5,02			26,27	8,38		2,78	1,18	21,80	13,90		100,00
2018_Gutema	473	3	3	RF	0,50			17,20	2,20	47,20	3,00			11,20	3,90	8,90	5,70	99,80
2018_Lanzski	206	2	1	EUGJ	29,10		0,30	1,60	0,70	14,50	4,00	0,70	3,60	17,50	25,40		2,60	100,00
2018_Reshamwala.Dachigam	451	5	3	RF	7,28			3,06		30,56	2,44			27,21	29,17		0,29	100,01
2018_Reshamwala.High_Indus_Valley.Chiktan_Khalse_Leh	451	5	3	RF	1,58			15,23		9,85	26,63			6,42	36,05		4,23	100,00
2018_Reshamwala.Spiti	451	5	3	RF	4,70			25,49		43,88	2,99			2,99	15,65		4,28	99,98
2018_Reshamwala.Uttarakhand	451	5	3	RF	22,01			10,45		47,76	3,36			6,72	9,71		0,00	100,01
2018_Smith.Interface	451	5	1	Coyote 			2,30		18,10	63,60	12,40	3,40						99,80
2018_Smith.Interface	1073	7	2	BC			0,00		10,10	73,20	13,20	3,60						100,10
2018_Smith.Interface	1073	7	3	GF			1,40		19,90	63,80	11,40	3,70						100,20
2018_Smith.Wildland	1073	7	1	Coyote 			1,30		24,10	59,50	14,10	1,30						100,30
2018_Smith.Wildland	1073	7	2	BC			7,00		26,40	54,30	11,10	1,60						100,40
2018_Smith.Wildland	1073	7	3	GF			1,50		15,80	72,90	9,50	0,50						100,20
2018_Temu	512	3	1	AGW	3,85					23,08	1,54			53,85	17,69			100,00
2019_Akrim	297	6	1	EUGJ	2,17	5,43		32,61	1,09	6,53	29,35			1,09	3,26		18,48	100,01
2019_Akrim	297	6	3	RF	2,99	1,20		21,56	1,20	7,20	30,50			4,20	27,55		3,60	100,00
2019_Gutema.BSNP	473	3	1	AGW	0,18			24,10	0,06	30,94	0,30			22,30	1,81	20,30		99,99
2019_Gutema.GMCCA	473	3	1	AGW	0,15			26,29	0,23	39,94	0,38			14,80	1,93	16,27		99,99
2019_Karssene.ODNR	657	9	3	RF					0,45	15,32	3,30	4,21		67,59	9,16			100,03
2019_Karssene.ODNR	657	9	1	AGW				14,47	7,69	31,69	0,55	0,73		20,33	24,54			100,00
2019_Karssene.SNTP	657	9	3	RF					2,45	14,81	2,31	1,49		68,90	10,06			100,02
2019_Karssene.SNTP	657	9	1	AGW				19,34	7,17	24,61	2,28	0,50		28,12	17,96			99,98
2019_Khatoon	57	5	2	LC			2,30	0,00	0,00	80,70	7,90	3,40		5,70	0,00			100,00
2019_Sogliani	1125	1	3	RF	6,03		18,90		0,91	19,87	11,78	0,00		15,33	22,02	5,34		100,19
